reduction -- vector examples,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_4 ,,,,,, combine4, combine6_5, combine8,  combine8_4 
32000,78158,45931,80676,74064,2.4424375,1.43534375,2.521125,2.3145,,2.99070412,1.007317234,0.415936042,0.170367122
64000,131925,70946,85797,77726,2.061328125,1.10853125,1.340578125,1.21446875,,,,,
96000,199322,101868,101796,81842,2.076270833,1.061125,1.060375,0.852520833,,,,,
128000,288338,135837,109761,85804,2.252640625,1.061226563,0.857507813,0.67034375,,,,,
160000,384590,165854,121699,90364,2.4036875,1.0365875,0.76061875,0.564775,,,,,
192000,488124,200856,133735,100264,2.5423125,1.046125,0.696536458,0.522208333,,,,,
224000,580987,230846,145747,97701,2.593691964,1.0305625,0.65065625,0.436165179,,,,,
256000,676920,262838,157735,101685,2.64421875,1.026710938,0.616152344,0.397207031,,,,,
288000,768396,295800,169737,105736,2.668041667,1.027083333,0.589364583,0.367138889,,,,,
320000,869337,325816,181732,109752,2.716678125,1.018175,0.5679125,0.342975,,,,,
352000,960348,360808,193730,113731,2.728261364,1.025022727,0.550369318,0.323099432,,,,,
384000,1062220,395548,205730,117746,2.766197917,1.030072917,0.535755208,0.306630208,,,,,
416000,1156548,422887,217744,121788,2.780163462,1.016555288,0.523423077,0.292759615,,,,,
448000,1253599,455853,229754,125764,2.798212054,1.017529018,0.51284375,0.280723214,,,,,
480000,1348555,485836,241778,130058,2.809489583,1.012158333,0.503704167,0.270954167,,,,,
512000,1449211,520905,260047,134246,2.830490234,1.017392578,0.507904297,0.262199219,,,,,
544000,1540538,555374,265752,138321,2.831871324,1.020908088,0.488514706,0.254266544,,,,,
576000,1636718,582002,277776,142471,2.841524306,1.010420139,0.48225,0.247345486,,,,,
608000,1734811,615840,289771,146116,2.853307566,1.012894737,0.476597039,0.240322368,,,,,
640000,1832781,645816,301754,150381,2.863720313,1.0090875,0.471490625,0.234970313,,,,,
672000,1924584,685608,313754,153741,2.863964286,1.02025,0.466895833,0.22878125,,,,,
704000,2024990,710851,325747,158378,2.87640625,1.009731534,0.462708807,0.22496875,,,,,
736000,2122192,741847,337756,162093,2.883413043,1.007944293,0.458907609,0.220235054,,,,,
768000,2220098,782904,355123,170908,2.890752604,1.01940625,0.46239974,0.222536458,,,,,
800000,2316405,805840,361747,170246,2.89550625,1.0073,0.45218375,0.2128075,,,,,
832000,2409151,840844,373759,174453,2.895614183,1.010629808,0.449229567,0.209679087,,,,,
864000,2505045,875361,385764,178099,2.899357639,1.013149306,0.446486111,0.206133102,,,,,
896000,2601182,901999,397737,181768,2.903104911,1.006695313,0.443902902,0.202866071,,,,,
928000,2696496,935858,409764,186405,2.905706897,1.008467672,0.441556034,0.200867457,,,,,
960000,2792628,970336,426192,190665,2.9089875,1.010766667,0.44395,0.198609375,,,,,
992000,2892516,1000874,433773,194335,2.915842742,1.008945565,0.437271169,0.195902218,,,,,
1024000,2986185,1036310,445778,198504,2.916196289,1.012021484,0.435330078,0.193851563,,,,,
1056000,3081144,1062004,457747,202488,2.91775,1.005685606,0.433472538,0.19175,,,,,
1088000,3179493,1099843,469756,206443,2.922328125,1.01088511,0.431761029,0.189745404,,,,,
1120000,3276813,1125840,485817,209721,2.925725893,1.005214286,0.433765179,0.187250893,,,,,
1152000,3369098,1164892,493756,219684,2.924564236,1.011190972,0.428607639,0.190697917,,,,,
1184000,3468655,1190860,505773,218361,2.929607264,1.005793919,0.427173142,0.18442652,,,,,
1216000,3561040,1226121,517754,222489,2.928486842,1.008323191,0.425784539,0.182967928,,,,,
1248000,3662035,1255874,529749,226380,2.934322917,1.006309295,0.424478365,0.181394231,,,,,
1280000,3753009,1290345,546182,230414,2.932038281,1.008082031,0.426704688,0.180010938,,,,,
1312000,3853032,1320873,553761,234554,2.936762195,1.006762957,0.422073933,0.178775915,,,,,
1344000,3948868,1355371,565768,237772,2.938145833,1.008460565,0.420958333,0.17691369,,,,,
1376000,4041007,1382860,577800,242289,2.936778343,1.004985465,0.419912791,0.176082122,,,,,
1408000,4140895,1420339,593896,246511,2.940976563,1.008763494,0.421801136,0.175078835,,,,,
1440000,4237552,1445877,601766,250600,2.942744444,1.00408125,0.417893056,0.174027778,,,,,
1472000,4332859,1484800,613771,258722,2.943518342,1.008695652,0.416963995,0.175762228,,,,,
1504000,4424954,1515369,625768,258316,2.94212367,1.007559176,0.416069149,0.17175266,,,,,
1536000,4524986,1542016,642189,262500,2.945954427,1.003916667,0.418091797,0.170898438,,,,,
1568000,4620657,1580361,649756,266138,2.946847577,1.007883291,0.414385204,0.169730867,,,,,
1600000,4716892,1616762,661747,270482,2.9480575,1.01047625,0.413591875,0.16905125,,,,,
1632000,4813641,1640858,673780,274363,2.949534926,1.005427696,0.412855392,0.168114583,,,,,
1664000,4908830,1675291,690180,278440,2.950018029,1.006785457,0.414771635,0.167331731,,,,,
1696000,5005024,1706695,697783,282412,2.951075472,1.006306014,0.411428656,0.166516509,,,,,
1728000,5100916,1739966,709764,286572,2.951918981,1.006924769,0.410743056,0.165840278,,,,,
1760000,5200910,1765872,726192,294828,2.9550625,1.003336364,0.412609091,0.167515909,,,,,
1792000,5294971,1806280,733800,294000,2.954782924,1.00796875,0.409486607,0.1640625,,,,,
1824000,5389970,1835397,745783,298653,2.955027412,1.006248355,0.408872259,0.163735197,,,,,
1856000,5486584,1866045,761796,302594,2.956133621,1.005412177,0.410450431,0.16303556,,,,,
1888000,5585796,1895868,769768,306360,2.95857839,1.004167373,0.407716102,0.162266949,,,,,
1920000,5676844,1930365,781764,310464,2.956689583,1.005398438,0.40716875,0.1617,,,,,
1952000,5773792,1965345,797776,314546,2.957885246,1.006836578,0.408696721,0.161140369,,,,,
1984000,5873068,1995297,805761,318631,2.960215726,1.005694052,0.406129536,0.160600302,,,,,
2016000,5964837,2026989,817790,326100,2.958748512,1.005450893,0.405649802,0.161755952,,,,,
2048000,6064716,2059963,834660,326493,2.961287109,1.005841309,0.407548828,0.15942041,,,,,
2080000,6157780,2085871,841761,330600,2.960471154,1.002822596,0.404692788,0.158942308,,,,,
2112000,6256874,2124856,853785,334531,2.962535038,1.006087121,0.404254261,0.15839536,,,,,
2144000,6353440,2155365,870201,338584,2.963358209,1.00530084,0.405877332,0.157921642,,,,,
2176000,6444895,2186532,877766,342556,2.961808364,1.004840074,0.40338511,0.157424632,,,,,
2208000,6545858,2220312,889744,346557,2.964609601,1.005576087,0.402963768,0.156955163,,,,,
2240000,6641102,2250364,906146,354211,2.964777679,1.004626786,0.404529464,0.158129911,,,,,
2272000,6737083,2285316,913783,354333,2.965265405,1.005860915,0.402193222,0.155956426,,,,,
2304000,6833428,2315306,925788,358420,2.965897569,1.004907118,0.401817708,0.155564236,,,,,
2336000,6925896,2346585,941558,362359,2.96485274,1.00453125,0.403064212,0.155119435,,,,,
2368000,7024315,2381215,949744,366525,2.96634924,1.005580659,0.401074324,0.154782517,,,,,
2400000,7120682,2410428,966141,370344,2.966950833,1.004345,0.40255875,0.15431,,,,,
2432000,7220049,2447532,973747,374488,2.968770148,1.006386513,0.400389391,0.153983553,,,,,
2464000,7313083,2475388,989738,381900,2.967971997,1.004621753,0.401679383,0.154991883,,,,,
2496000,7408231,2506548,997747,382466,2.968041266,1.004225962,0.399738381,0.153231571,,,,,
2528000,7508664,2540378,1009759,386390,2.970199367,1.004896361,0.399429984,0.152844146,,,,,
2560000,7601520,2570330,1026170,390415,2.96934375,1.004035156,0.400847656,0.152505859,,,,,
2592000,7698144,2605312,1033761,394392,2.969962963,1.005135802,0.398827546,0.152157407,,,,,
2624000,7792802,2635389,1050115,398493,2.969817835,1.00434032,0.400196265,0.15186471,,,,,
2656000,7893604,2666061,1057764,406744,2.971989458,1.003788027,0.398254518,0.153141566,,,,,
2688000,7984975,2699884,1073784,405760,2.970600818,1.004421131,0.399473214,0.150952381,,,,,
2720000,8080965,2733691,1081776,410445,2.970943015,1.005033456,0.397711765,0.150898897,,,,,
2752000,8181350,2764980,1093788,414456,2.972874273,1.00471657,0.397452035,0.150601744,,,,,
2784000,8272982,2795335,1109661,418324,2.971617098,1.00407148,0.398585129,0.150260057,,,,,
2816000,8372397,2826540,1117768,426576,2.973152344,1.003742898,0.396934659,0.151482955,,,,,
2848000,8465436,2860368,1134124,426393,2.972414326,1.004342697,0.398217697,0.149716643,,,,,
2880000,8564361,2893752,1141785,430548,2.973736458,1.004775,0.396453125,0.149495833,,,,,
2912000,8656416,2924853,1158177,433761,2.97267033,1.004413805,0.397725618,0.148956387,,,,,
2944000,8757199,2955333,1165761,438400,2.974592052,1.003849524,0.395978601,0.148913043,,,,,
2976000,8852376,2988247,1182160,442408,2.97458871,1.004115255,0.397231183,0.148658602,,,,,
3008000,8944987,3019867,1189783,451056,2.97373238,1.003945146,0.395539561,0.149952128,,,,,
3040000,9045772,3053731,1208217,450458,2.975582895,1.004516776,0.397439803,0.148176974,,,,,
3072000,9144172,3085286,1213773,454504,2.97661849,1.00432487,0.395108398,0.147950521,,,,,
3104000,9236536,3115363,1230148,458671,2.975688144,1.00366076,0.396310567,0.147767719,,,,,
3136000,9332385,3150794,1237749,461757,2.975888074,1.004717474,0.39469037,0.147243941,,,,,
3168000,9437383,3180324,1254177,530359,2.978971907,1.003890152,0.395889205,0.167411301,,,,,
3200000,9528739,3210424,1261771,470536,2.977730938,1.0032575,0.394303438,0.1470425,,,,,
3232000,9623143,3254092,1278206,474640,2.977457611,1.006835396,0.39548453,0.146856436,,,,,
3264000,9718156,3277478,1285768,478780,2.977376225,1.004129289,0.39392402,0.146685049,,,,,
3296000,9815721,3309199,1301587,482352,2.978070692,1.004004551,0.394898968,0.14634466,,,,,
3328000,9911980,3349744,1313918,492597,2.978359375,1.006533654,0.394807091,0.148015925,,,,,
3360000,10004160,3370461,1321771,490636,2.977428571,1.003113393,0.393384226,0.146022619,,,,,
3392000,10131676,3411391,1340594,494704,2.986932783,1.005716686,0.395222288,0.14584434,,,,,
3424000,10199164,3435367,1345764,498448,2.978727804,1.003319801,0.393038551,0.145574766,,,,,
3456000,10297440,3471595,1362192,502432,2.979583333,1.004512442,0.394152778,0.14537963,,,,,
3488000,10388575,3502680,1369783,511005,2.97837586,1.004208716,0.392713016,0.146503727,,,,,
3520000,10484949,3530428,1386259,510628,2.978678693,1.0029625,0.39382358,0.145064773,,,,,
3552000,10584228,3569088,1393783,514329,2.979793919,1.004810811,0.392393863,0.144799831,,,,,
3584000,10676200,3595531,1409596,518426,2.978850446,1.003217355,0.393302455,0.144650112,,,,,
3616000,10777164,3631161,1422192,522405,2.980410398,1.004192754,0.39330531,0.144470409,,,,,
3648000,10868364,3660453,1429792,530620,2.979266447,1.003413651,0.391938596,0.145455044,,,,,
3680000,10969010,3697785,1446228,530505,2.980709239,1.00483288,0.392996739,0.144158967,,,,,
3712000,11064604,3729237,1453773,534518,2.980766164,1.004643588,0.391641433,0.143997306,,,,,
3744000,11158461,3755373,1469565,538550,2.980358173,1.00303766,0.392512019,0.143843483,,,,,
3776000,11256000,3790540,1482196,547056,2.980932203,1.003850636,0.39253072,0.144877119,,,,,
3808000,11352355,3820404,1489764,546357,2.981185662,1.003257353,0.391219538,0.143476103,,,,,
3840000,11445468,3854164,1506189,550423,2.980590625,1.003688542,0.392236719,0.143339323,,,,,
3872000,11544547,3889207,1517836,554594,2.981546229,1.004443957,0.392003099,0.143231921,,,,,
3904000,11641159,3915352,1525756,562867,2.981854252,1.002907787,0.390818648,0.144176998,,,,,
3936000,11735800,3950476,1542168,564830,2.981656504,1.003677846,0.391810976,0.143503557,,,,,
3968000,11832578,3980445,1553860,566455,2.982000504,1.003136341,0.391597782,0.142755796,,,,,
4000000,11937924,4014048,1561768,570492,2.984481,1.003512,0.390442,0.142623,,,,,
4032000,12040147,4051212,1579041,574776,2.986147569,1.004764881,0.391627232,0.142553571,,,,,
4064000,12129991,4079208,1585761,582273,2.98474188,1.003742126,0.390197096,0.143275837,,,,,
4096000,12226773,4106438,1601544,582422,2.985052002,1.00254834,0.391001953,0.142192871,,,,,
4128000,12319363,4144272,1614247,586622,2.984341812,1.00394186,0.391048207,0.142108043,,,,,
4160000,12409320,4174255,1625779,590656,2.983009615,1.003426683,0.39081226,0.141984615,,,,,
4192000,12503913,4205388,1633771,598212,2.982803674,1.003193702,0.389735448,0.142703244,,,,,
4224000,12599668,4239105,1650187,598471,2.982875947,1.003575994,0.390669271,0.141683475,,,,,
4256000,12695800,4270368,1661872,602594,2.983035714,1.00337594,0.390477444,0.141586936,,,,,
4288000,12792501,4306665,1669790,606739,2.983325793,1.004352845,0.389409981,0.141496968,,,,,
4320000,12891444,4334179,1686261,614193,2.984130556,1.003282176,0.390338194,0.142174306,,,,,
4352000,12984746,4365508,1698223,614445,2.983627298,1.00310386,0.390216682,0.141186811,,,,,
4384000,13083343,4402372,1705771,618362,2.984339188,1.004190693,0.3890901,0.141049726,,,,,
4416000,13176873,4430414,1721752,626726,2.983893342,1.00326404,0.389889493,0.141921649,,,,,
4448000,13276024,4465946,1734216,626349,2.984717626,1.004034622,0.389886691,0.140815872,,,,,
4480000,13368535,4494218,1746708,630501,2.984047991,1.003173661,0.389890179,0.14073683,,,,,
4512000,13472560,4529258,1753783,634488,2.985939716,1.003824911,0.388693041,0.14062234,,,,,
4544000,13563324,4559131,1770235,643106,2.984886444,1.003329886,0.389576364,0.141528609,,,,,
4576000,13659633,4590520,1782196,642422,2.985059659,1.003173077,0.389465909,0.140389423,,,,,
4608000,13759056,4622776,1793846,646423,2.98590625,1.003206597,0.389289497,0.140282769,,,,,
4640000,13852735,4655066,1801788,650503,2.985503233,1.003246983,0.388316379,0.140194612,,,,,
4672000,13943928,4689069,1818223,659097,2.98457363,1.003653467,0.389174443,0.141073844,,,,,
4704000,14044430,4721469,1830271,658468,2.985635629,1.003713648,0.389088223,0.139980442,,,,,
4736000,14139986,4750413,1841882,662496,2.985638936,1.003043285,0.388910895,0.139885135,,,,,
4768000,14236492,4784224,1849788,666525,2.985841443,1.003402685,0.387958893,0.139791317,,,,,
4800000,14331892,4815304,1865625,674680,2.985810833,1.003188333,0.388671875,0.140558333,,,,,
4832000,14428382,4849332,1878314,674460,2.986006209,1.003586921,0.388723924,0.139581954,,,,,
4864000,14524596,4879291,1890321,678494,2.98614227,1.003143709,0.388635074,0.13949301,,,,,
4896000,14619928,4910400,1897804,689068,2.986096405,1.002941176,0.387623366,0.140741013,,,,,
4928000,14716888,4944091,1913592,686728,2.986381494,1.003265219,0.388310065,0.139352273,,,,,
4960000,14819716,4978819,1926559,692748,2.987845968,1.003794153,0.388419153,0.139666935,,,,,
4992000,14909203,5009344,1938316,694560,2.986619191,1.003474359,0.388284455,0.139134615,,,,,
5024000,15004720,5039280,1950242,702590,2.98660828,1.003041401,0.388185111,0.139846736,,,,,
