dot product examples,,,,,,,,,,,,,,,,,
2464000,6145454,3110392,3092492,2087180,826962,439872,325310,379952,,2.494096591,1.262334416,1.255069805,0.847069805,0.335617695,0.178519481,0.132025162,0.154201299
2496000,6224340,3147058,3129532,2111986,831464,444842,325132,329912,,2.493725962,1.260840545,1.25381891,0.846148237,0.33311859,0.178221955,0.130261218,0.132176282
2528000,6305554,3190066,3173662,2141320,841462,449814,328412,386620,,2.494285601,1.261893196,1.255404272,0.847041139,0.332856804,0.177932753,0.12990981,0.152935127
2560000,6385504,3227026,3212860,2164684,856704,454804,331774,336622,,2.4943375,1.260557031,1.255023438,0.845579688,0.33465,0.177657813,0.129599219,0.131492969
2592000,6465514,3272710,3249668,2192526,861472,463662,335088,397158,,2.494411265,1.262619599,1.253729938,0.845881944,0.332358025,0.178881944,0.129277778,0.153224537
2624000,6549628,3312512,3292448,2220254,877640,464866,338442,343254,,2.496047256,1.262390244,1.254743902,0.846133384,0.334466463,0.177159299,0.128979421,0.130813262
2656000,6624388,3347020,3329634,2244672,881456,469812,345118,399968,,2.494121988,1.260173193,1.253627259,0.84513253,0.331873494,0.176887048,0.129939006,0.150590361
2688000,6707552,3390072,3372502,2273516,897958,474858,345094,349886,,2.495369048,1.2611875,1.254651042,0.845802083,0.334061756,0.176658482,0.128383185,0.130165923
2720000,6789820,3430362,3413852,2299840,901466,483628,348404,406608,,2.496257353,1.2611625,1.255092647,0.845529412,0.331421324,0.177804412,0.128089706,0.149488235
2752000,6865760,3466980,3452752,2324056,915042,484872,351768,360462,,2.494825581,1.259803779,1.254633721,0.844497093,0.332500727,0.176188953,0.127822674,0.130981831
2784000,6949040,3510084,3489296,2353430,921466,489840,355124,413288,,2.496063218,1.260806034,1.25333908,0.845341236,0.330986351,0.175948276,0.127558908,0.148451149
2816000,7024590,3550636,3534050,2380568,936952,494856,362030,363270,,2.494527699,1.260879261,1.254989347,0.845372159,0.332724432,0.175730114,0.12856179,0.129002131
2848000,7108764,3590378,3574136,2405632,941468,503728,361822,419986,,2.496054775,1.260666433,1.254963483,0.844674157,0.330571629,0.176870787,0.127044242,0.147466994
2880000,7184898,3631990,3613156,2432314,951478,504878,365314,370054,,2.49475625,1.261107639,1.254568056,0.844553472,0.330374306,0.175304861,0.126845139,0.128490972
2912000,7269716,3666982,3653616,2458780,964762,509866,368454,430520,,2.496468407,1.259265797,1.254675824,0.844361264,0.331305632,0.175091346,0.126529533,0.147843407
2944000,7348990,3710052,3689940,2487604,971470,514828,371810,376598,,2.49626019,1.26020788,1.253376359,0.844974185,0.329983016,0.174873641,0.126294158,0.127920516
2976000,7425170,3750980,3732662,2513070,984956,523670,375194,433330,,2.495016801,1.260409946,1.254254704,0.844445565,0.330966398,0.175964382,0.126073253,0.145608199
3008000,7509772,3792666,3772342,2541412,991498,524876,382688,383284,,2.496599734,1.260859707,1.254103059,0.844884309,0.329620346,0.174493351,0.127223404,0.127421543
3040000,7589026,3830586,3813074,2567262,1005188,529838,381764,440030,,2.496390132,1.260061184,1.254300658,0.844494079,0.330653947,0.174288816,0.125580263,0.144746711
3072000,7669428,3870724,3852950,2595906,1011498,534880,385170,394270,,2.496558594,1.260001302,1.254215495,0.845021484,0.329263672,0.174114583,0.125380859,0.128343099
3104000,7749144,3910478,3893206,2621424,1025022,543742,388674,446666,,2.496502577,1.259818943,1.25425451,0.844530928,0.33022616,0.175174613,0.125217139,0.143900129
3136000,7825124,3951356,3932720,2644000,1031488,544828,391812,396704,,2.495256378,1.259998724,1.254056122,0.843112245,0.328918367,0.173733418,0.124940051,0.1265
3168000,7910082,3990472,3973850,2678852,1046072,549904,399432,453370,,2.496869318,1.259618687,1.254371843,0.845597222,0.330199495,0.173580808,0.126083333,0.143109217
3200000,7990730,4030874,4014192,2700840,1054976,558472,398432,403342,,2.497103125,1.259648125,1.254435,0.8440125,0.32968,0.1745225,0.12451,0.126044375
3232000,8069264,4070796,4053052,2724994,1061488,559892,401856,465652,,2.496678218,1.259528465,1.254038366,0.843129332,0.328430693,0.173233911,0.124336634,0.144075495
3264000,8153792,4110774,4093850,2757520,1075282,564876,405206,410254,,2.498098039,1.259428309,1.25424326,0.844828431,0.329436887,0.1730625,0.124143995,0.125690564
3296000,8227640,4151414,4133310,2779484,1081516,569858,408630,466772,,2.49625,1.259530947,1.254038228,0.843290049,0.328129854,0.172893811,0.123977549,0.141617718
3328000,8309550,4190770,4172550,2808792,1095192,578844,416374,416832,,2.496859976,1.259245793,1.253771034,0.843987981,0.329084135,0.17393149,0.12511238,0.12525
3360000,8388614,4230802,4213448,2837448,1101520,579938,415078,477530,,2.49661131,1.259167262,1.254002381,0.844478571,0.327833333,0.172600595,0.123535119,0.142122024
3392000,8469098,4270218,4253006,2858416,1115218,584948,418668,423364,,2.496785967,1.258908608,1.253834316,0.842693396,0.328778892,0.172449292,0.123428066,0.1248125
3424000,8553752,4313588,4293140,2891502,1121482,593928,421758,480136,,2.498175234,1.259809579,1.253837617,0.844480724,0.327535631,0.17346028,0.123176986,0.140226636
3456000,8628914,4351240,4336204,2912182,1135348,594954,425268,430072,,2.496792245,1.259039352,1.254688657,0.842645255,0.328515046,0.172151042,0.123052083,0.12444213
3488000,8711814,4390730,4373212,2944332,1141488,599954,432488,486858,,2.497653096,1.258810206,1.253787844,0.844131881,0.327261468,0.172005161,0.123993119,0.139580849
3520000,8801812,4432976,4413450,2968234,1154726,604926,432072,441012,,2.500514773,1.259368182,1.253821023,0.843248295,0.328047159,0.171853977,0.122747727,0.1252875
3552000,8869454,4470306,4452782,2995524,1165246,613542,435476,493522,,2.497030968,1.258532095,1.253598536,0.843334459,0.328053491,0.172731419,0.122600225,0.138942005
3584000,8956440,4513820,4493606,3020644,1171496,614992,438480,443458,,2.499006696,1.259436384,1.253796317,0.842813616,0.326868304,0.17159375,0.12234375,0.123732701
3616000,9029174,4550662,4536240,3047342,1185350,619966,446364,500254,,2.497006084,1.258479535,1.25449115,0.842738385,0.327806969,0.171450774,0.123441372,0.13834458
3648000,9114332,4592600,4573304,3076026,1191510,629190,445326,454528,,2.498446272,1.258936404,1.25364693,0.843208882,0.326620066,0.172475329,0.122074013,0.124596491
3680000,9190342,4630314,4612992,3104354,1204804,630014,448694,506980,,2.497375543,1.2582375,1.253530435,0.843574457,0.327392391,0.171199457,0.121927717,0.137766304
3712000,9274126,4673758,4662142,3127102,1215220,635040,452162,457030,,2.498417565,1.259094289,1.255964978,0.842430496,0.327376078,0.171077586,0.121810884,0.123122306
3744000,9349492,4711716,4693136,3160666,1221518,644228,455504,513646,,2.497193376,1.258471154,1.253508547,0.844194979,0.32626015,0.172069444,0.121662393,0.137191774
3776000,9432216,4754004,4732800,3182766,1235366,645066,463882,468822,,2.497938559,1.259005297,1.253389831,0.842893538,0.327162606,0.170833157,0.122850106,0.124158369
3808000,9512596,4790764,4778064,3207076,1241504,650150,462216,520340,,2.498055672,1.258078782,1.254743697,0.842194328,0.32602521,0.170732668,0.121380252,0.136643908
3840000,9593986,4830448,4813386,3237824,1254924,659422,465416,470622,,2.498433854,1.257929167,1.253485938,0.843183333,0.326803125,0.171724479,0.121202083,0.122557813
3872000,9672918,4874742,4857242,3258840,1278628,673436,487522,546600,,2.498170971,1.258972624,1.254452996,0.841642562,0.330224174,0.173924587,0.125909607,0.141167355
3904000,9756604,4914218,4900986,3358052,1284828,678420,504862,516904,,2.499130123,1.258764857,1.255375512,0.860156762,0.329105533,0.173775615,0.12931916,0.132403689
3936000,9832944,4958200,4943966,3383462,1298168,687686,509530,589080,,2.498207317,1.259705285,1.256088923,0.859619411,0.329819106,0.174716972,0.12945376,0.149664634
3968000,9918510,4994712,4980602,3401210,1309388,688464,513732,534182,,2.499624496,1.258747984,1.255192036,0.857159778,0.329986895,0.173504032,0.12946875,0.13462248
4000000,9996402,5038910,5024674,3423832,1315066,693466,515752,592966,,2.4991005,1.2597275,1.2561685,0.855958,0.3287665,0.1733665,0.128938,0.1482415
4032000,10077800,5075362,5060974,3461094,1327672,702850,524240,555904,,2.499454365,1.258770337,1.255201885,0.85840625,0.32928373,0.174317956,0.130019841,0.137873016
4064000,10166570,5124442,5106500,3508836,1338368,703472,527436,610694,,2.501616634,1.260935531,1.256520669,0.863394685,0.329322835,0.173098425,0.12978248,0.150269193
4096000,10253156,5162344,5153198,3525238,1346208,709240,556930,600228,,2.503211914,1.260337891,1.25810498,0.860653809,0.328664063,0.173154297,0.135969238,0.146540039
4128000,10328322,5206244,5196794,3575574,1361922,724568,593842,697746,,2.502015988,1.261202519,1.258913275,0.866175872,0.329922965,0.175525194,0.143857074,0.169027616
4160000,10410076,5246972,5234406,3620856,1373104,751282,638134,704782,,2.502422115,1.261291346,1.258270673,0.870398077,0.330073077,0.180596635,0.153397596,0.16941875
4192000,10490016,5288872,5278030,3646068,1384816,803502,685722,777650,,2.502389313,1.261658397,1.259072042,0.86976813,0.330347328,0.191675095,0.163578721,0.185508111
4224000,10572514,5328578,5318678,3682454,1407812,849456,739046,804912,,2.502962595,1.261500473,1.259156723,0.871793087,0.333288826,0.201102273,0.174963542,0.190556818
4256000,10648530,5369568,5354770,3730482,1422206,894244,777830,881080,,2.502004229,1.261646617,1.258169643,0.876523026,0.334164944,0.210113722,0.182760808,0.207020677
4288000,10729708,5405158,5399464,3767980,1435328,929796,802122,876862,,2.502263993,1.26053125,1.259203358,0.878726679,0.334731343,0.216836754,0.187062034,0.204492071
4320000,10812188,5450582,5439648,3802176,1438786,944256,826506,936100,,2.502821296,1.261708796,1.259177778,0.880133333,0.333052315,0.218577778,0.191320833,0.216689815
4352000,10890760,5491892,5480712,3861916,1453922,968610,845208,931152,,2.502472426,1.261923713,1.259354779,0.887388787,0.334081342,0.222566636,0.194211397,0.213959559
4384000,10971714,5531158,5518256,3883354,1467826,991068,873222,991180,,2.502671989,1.261669252,1.258726277,0.885801551,0.334814325,0.226064781,0.19918385,0.226090328
4416000,11049164,5566898,5563386,3910582,1460690,1013272,895924,986958,,2.502075181,1.260620018,1.259824728,0.88554846,0.330772192,0.22945471,0.202881341,0.223495924
4448000,11133920,5604704,5601060,3946414,1472408,1032076,922870,1045322,,2.503129496,1.26005036,1.259231115,0.887233363,0.331026978,0.232031475,0.207479766,0.235009442
4480000,11208972,5644990,5640440,3998336,1488426,1065446,946112,1038964,,2.502002679,1.260042411,1.259026786,0.892485714,0.332237946,0.237822768,0.211185714,0.231911607
4512000,11292810,5683676,5678254,4014272,1493214,1082250,976564,1094752,,2.502839096,1.259679965,1.25847828,0.889687943,0.330942819,0.239860372,0.216437057,0.242631206
4544000,11372042,5730832,5710726,4034826,1497322,1102916,999500,1088702,,2.502650088,1.26118662,1.256761884,0.887945863,0.329516285,0.24271919,0.219960387,0.239591109
4576000,11448442,5772158,5753288,4067332,1510796,1124412,1025348,1147052,,2.501844843,1.261398164,1.257274476,0.888840035,0.330156469,0.245719406,0.224070804,0.250666958
4608000,11532748,5811008,5793118,4106600,1522800,1144524,1046388,1143426,,2.502766493,1.261069444,1.257187066,0.891189236,0.33046875,0.248377604,0.227080729,0.248139323
4640000,11613098,5841492,5835080,4136886,1547794,1178116,1077806,1204380,,2.502822845,1.258942241,1.257560345,0.891570259,0.333576293,0.25390431,0.232285776,0.259564655
4672000,11692568,5884108,5873536,4167944,1548212,1200464,1096532,1175126,,2.502690068,1.259440925,1.257178082,0.892111301,0.331380993,0.25694863,0.234702911,0.251525257
4704000,11772876,5923848,5913912,4201020,1555200,1224266,1121114,1240434,,2.502737245,1.259321429,1.257209184,0.89307398,0.330612245,0.260260629,0.238332058,0.263697704
4736000,11851622,5973156,5955016,4236594,1568312,1234098,1127880,1223350,,2.50245397,1.261223818,1.257393581,0.894551098,0.331146959,0.260578125,0.238150338,0.258308699
4768000,11934532,6010508,5993204,4281054,1577614,1248584,1159504,1278510,,2.503047819,1.260593121,1.256963926,0.897872064,0.330875419,0.26186745,0.243184564,0.268143876
4800000,12012338,6049918,6033530,4327940,1584920,1279664,1184522,1280416,,2.502570417,1.260399583,1.256985417,0.901654167,0.330191667,0.266596667,0.246775417,0.266753333
4832000,12094546,6093608,6073992,4340892,1593622,1304754,1214894,1334904,,2.503010348,1.261094371,1.257034768,0.898363411,0.329805877,0.270023593,0.251426738,0.276263245
4864000,12172960,6134632,6117568,4395836,1602034,1335596,1242650,1319348,,2.502664474,1.261231908,1.257723684,0.903749178,0.329365543,0.274587993,0.25547903,0.271247533
4896000,12252446,6172960,6152494,4403444,1613618,1355168,1252324,1376068,,2.502542075,1.260816993,1.256636846,0.899396242,0.32957884,0.27679085,0.255785131,0.281059641
4928000,12332842,6213334,6194248,4436444,1623818,1364304,1265148,1339310,,2.502605925,1.260822646,1.256949675,0.900252435,0.329508523,0.276847403,0.256726461,0.271775568
4960000,12411742,6254458,6234434,4461220,1635158,1369878,1272338,1393402,,2.502367339,1.260979435,1.256942339,0.899439516,0.329668952,0.276185081,0.256519758,0.280927823
4992000,12500728,6292422,6277528,4492670,1644752,1382002,1276034,1364492,,2.504152244,1.260501202,1.257517628,0.899973958,0.329477564,0.276843349,0.255615785,0.273335737
5024000,12593598,6331952,6314812,4521672,1653176,1394348,1290042,1410320,,2.5066875,1.260340764,1.25692914,0.900014331,0.329055732,0.27753742,0.256775876,0.280716561
5056000,12656922,6371684,6355254,4553174,1665424,1399700,1297202,1382924,,2.503346915,1.26022231,1.256972706,0.900548655,0.32939557,0.276839399,0.256566851,0.273521361
5088000,12735468,6415122,6395558,4578806,1674084,1411450,1302754,1432490,,2.503040094,1.260833726,1.256988601,0.899922563,0.329025943,0.277407626,0.256044418,0.281542846
5120000,12829954,6451040,6434078,4602596,1685086,1419706,1314038,1398020,,2.505850391,1.25996875,1.256655859,0.898944531,0.329118359,0.277286328,0.256648047,0.273050781
5152000,12901504,6493992,6478566,4639522,1695082,1425492,1317864,1444116,,2.504173913,1.260479814,1.257485637,0.900528339,0.329014363,0.276687112,0.255796584,0.280302019
5184000,12976170,6530200,6515948,4699046,1705766,1436916,1330008,1415356,,2.503119213,1.259683642,1.256934414,0.906451775,0.329044367,0.27718287,0.256560185,0.27302392
5216000,13052056,6574444,6555188,4691490,1712576,1445010,1337844,1466866,,2.50231135,1.260437883,1.256746166,0.899442101,0.328331288,0.277034126,0.256488497,0.28122431
5248000,13136160,6614140,6595552,4727976,1723906,1454062,1340472,1427446,,2.503079268,1.260316311,1.25677439,0.900910061,0.328488186,0.277069741,0.255425305,0.271998095
5280000,13215642,6650862,6640878,4748772,1735706,1457910,1352498,1482140,,2.5029625,1.259632955,1.257742045,0.899388636,0.328732197,0.276119318,0.256154924,0.280708333
5312000,13295826,6694012,6675202,4800140,1747800,1470890,1360314,1449346,,2.502979292,1.260167922,1.256626883,0.903640813,0.329028614,0.276899473,0.256083208,0.27284375
5344000,13375852,6731224,6715262,4821358,1755544,1480174,1368074,1498714,,2.502966317,1.259585329,1.256598428,0.902200225,0.328507485,0.276978668,0.256001871,0.280447979
5376000,13460038,6774226,6762312,4834844,1764272,1486918,1373048,1461328,,2.503727307,1.260086682,1.257870536,0.899338542,0.328175595,0.276584449,0.255403274,0.271824405
5408000,13550596,6815334,6794956,4873780,1773140,1491326,1384176,1518404,,2.505657544,1.260231879,1.256463757,0.901216716,0.327873521,0.275762944,0.255949704,0.28076997
5440000,13634530,6850884,6839892,4917286,1783532,1504862,1391362,1481494,,2.506347426,1.259353676,1.257333088,0.903912868,0.327855147,0.276629044,0.255765074,0.272333456
5472000,13712634,6893210,6875854,4923696,1791574,1514138,1395068,1532228,,2.505963816,1.25972405,1.256552266,0.899798246,0.327407529,0.276706506,0.254946637,0.280012427
5504000,13790936,6933108,6914974,4951258,1804946,1523348,1407816,1493570,,2.50562064,1.259648983,1.256354288,0.899574491,0.327933503,0.276771076,0.255780523,0.271360828
5536000,13856504,6977086,6958602,4980972,1814746,1526378,1414396,1551982,,2.502981214,1.260311777,1.256972905,0.899742052,0.327808165,0.275718569,0.255490607,0.280343569
5568000,13936544,7017076,6996332,5007186,1825434,1540644,1418000,1514852,,2.502971264,1.260250718,1.256525144,0.899279095,0.32784375,0.276696121,0.25466954,0.272063937
5600000,14015268,7059242,7041692,5037346,1832998,1548144,1430276,1566038,,2.502726429,1.260578929,1.257445,0.899526071,0.327321071,0.276454286,0.255406429,0.279649643
5632000,14096482,7089936,7079064,5083074,1844574,1557444,1438538,1526504,,2.502926491,1.258866477,1.25693608,0.902534446,0.32751669,0.276534801,0.25542223,0.271041193
5664000,14176534,7135224,7115826,5098176,1855244,1553444,1445392,1582760,,2.502919138,1.25975,1.256325212,0.900101695,0.327550141,0.274266243,0.255189266,0.27944209
5696000,14255922,7172314,7158494,5118946,1864388,1568286,1448016,1548722,,2.502795295,1.25918434,1.256758076,0.898691362,0.327315309,0.27533111,0.254216292,0.271896419
5728000,14337728,7214840,7196316,5173896,1875010,1575734,1460976,1600996,,2.503094972,1.259574022,1.256340084,0.903263966,0.327341131,0.275093226,0.255058659,0.279503492
5760000,14416676,7254418,7238548,5174684,1886380,1585188,1468790,1564560,,2.502895139,1.259447569,1.256692361,0.898382639,0.327496528,0.27520625,0.254998264,0.271625
5792000,14501556,7291382,7278482,5219302,1894254,1591282,1475176,1612082,,2.503721685,1.258871202,1.256643992,0.901122583,0.327046616,0.274737914,0.254691989,0.278329075
5824000,14575824,7327750,7315412,5239008,1905358,1596524,1479074,1581960,,2.502717033,1.258198832,1.256080357,0.899554945,0.32715625,0.274128434,0.253961882,0.271627747
5856000,14656344,7368008,7357630,5261722,1913702,1608674,1492434,1634330,,2.502790984,1.258198087,1.256425888,0.898518101,0.326793374,0.27470526,0.254855533,0.279086407
5888000,14740334,7405672,7401226,5295070,1923930,1617832,1498960,1598600,,2.503453465,1.257756793,1.257001698,0.899298573,0.326754416,0.274767663,0.254578804,0.271501359
5920000,14815596,7448398,7435426,5341990,1934310,1626802,1506454,1650170,,2.502634459,1.258175338,1.255984122,0.902363176,0.326741554,0.274797635,0.254468581,0.278744932
5952000,14899596,7487754,7479376,5344946,1944926,1629286,1510816,1610922,,2.503292339,1.258023185,1.256615591,0.898008401,0.326768481,0.273737567,0.253833333,0.270652218
5984000,14977702,7524952,7519844,5382072,1953826,1633358,1522764,1668380,,2.502958222,1.257512032,1.256658422,0.899410428,0.326508356,0.272954211,0.254472594,0.278806818
6016000,15061846,7569768,7559712,5407772,1965500,1648898,1536850,1637906,,2.503631316,1.258272606,1.256601064,0.898898271,0.326712101,0.274085439,0.255460439,0.272258311
6048000,15135478,7609892,7597428,5433732,1975658,1659722,1544230,1689128,,2.502559193,1.258249339,1.256188492,0.898434524,0.326663029,0.274424934,0.255329034,0.279287037
6080000,15220204,7648710,7640210,5463128,1978858,1667672,1548424,1652374,,2.503323026,1.258011513,1.256613487,0.898540789,0.325470066,0.274288158,0.254675,0.271772039
6112000,15296372,7690086,7680216,5493892,1996812,1677096,1561756,1709660,,2.502678665,1.258194699,1.256579843,0.898869764,0.326703534,0.274393979,0.255522906,0.279721859
6144000,15381060,7727354,7721280,5524818,2010010,1684572,1569898,1665348,,2.503427734,1.257707357,1.25671875,0.89922168,0.327150065,0.274181641,0.255517253,0.271052734
6176000,15460968,7765598,7760138,5543716,2015984,1689666,1576718,1729350,,2.503395078,1.257383096,1.256499028,0.897622409,0.32642228,0.273585816,0.255297604,0.280011334
6208000,15540460,7807896,7800134,5597532,2027536,1702060,1579676,1686110,,2.503295747,1.257715206,1.256464884,0.901664304,0.326600515,0.274172036,0.254458119,0.271602771
6240000,15616156,7854384,7839748,5604648,2034052,1710220,1592594,1747612,,2.502589103,1.258715385,1.256369872,0.898180769,0.325969872,0.274073718,0.255223397,0.280066026
